¸ñÍø±àºÅ,wkt×ø±ê
70,"MULTIPOLYGON (((438943.69714851433 4394540.4441694766, 439943.69714851433 4394540.4441694766, 439943.69714851433 4395540.4441694766, 438943.69714851433 4395540.4441694766, 438943.69714851433 4394540.4441694766)))"
71,"MULTIPOLYGON (((439943.69714851433 4394540.4441694766, 440943.69714851433 4394540.4441694766, 440943.69714851433 4395540.4441694766, 439943.69714851433 4395540.4441694766, 439943.69714851433 4394540.4441694766)))"
72,"MULTIPOLYGON (((440943.69714851433 4394540.4441694766, 441943.69714851433 4394540.4441694766, 441943.69714851433 4395540.4441694766, 440943.69714851433 4395540.4441694766, 440943.69714851433 4394540.4441694766)))"
73,"MULTIPOLYGON (((441943.69714851433 4394540.4441694766, 442943.69714851433 4394540.4441694766, 442943.69714851433 4395540.4441694766, 441943.69714851433 4395540.4441694766, 441943.69714851433 4394540.4441694766)))"
74,"MULTIPOLYGON (((442943.69714851433 4394540.4441694766, 443943.69714851433 4394540.4441694766, 443943.69714851433 4395540.4441694766, 442943.69714851433 4395540.4441694766, 442943.69714851433 4394540.4441694766)))"
106,"MULTIPOLYGON (((421943.69714851433 4395540.4441694766, 422943.69714851433 4395540.4441694766, 422943.69714851433 4396540.4441694766, 421943.69714851433 4396540.4441694766, 421943.69714851433 4395540.4441694766)))"
107,"MULTIPOLYGON (((422943.69714851433 4395540.4441694766, 423943.69714851433 4395540.4441694766, 423943.69714851433 4396540.4441694766, 422943.69714851433 4396540.4441694766, 422943.69714851433 4395540.4441694766)))"
108,"MULTIPOLYGON (((423943.69714851433 4395540.4441694766, 424943.69714851433 4395540.4441694766, 424943.69714851433 4396540.4441694766, 423943.69714851433 4396540.4441694766, 423943.69714851433 4395540.4441694766)))"
109,"MULTIPOLYGON (((424943.69714851433 4395540.4441694766, 425943.69714851433 4395540.4441694766, 425943.69714851433 4396540.4441694766, 424943.69714851433 4396540.4441694766, 424943.69714851433 4395540.4441694766)))"
110,"MULTIPOLYGON (((425943.69714851433 4395540.4441694766, 426943.69714851433 4395540.4441694766, 426943.69714851433 4396540.4441694766, 425943.69714851433 4396540.4441694766, 425943.69714851433 4395540.4441694766)))"
