label,lng,Lat
12,116.235409,39.69369321
13,116.2470712,39.69376942
14,116.2587334,39.69384445
15,116.2703956,39.69391832
16,116.2820579,39.69399101
17,116.2937202,39.69406253
18,116.3053826,39.69413288
53,116.0953491,39.70169654
54,116.1070122,39.70178682
55,116.1186753,39.70187594
56,116.1303385,39.70196388
57,116.1420018,39.70205066
58,116.1536651,39.70213626
59,116.1653284,39.70222069
60,116.1769918,39.70230395
61,116.1886553,39.70238604
62,116.2003188,39.70246696
63,116.2119823,39.7025467
64,116.2236459,39.70262528
65,116.2353096,39.70270268
66,116.2469732,39.70277891
67,116.258637,39.70285397
68,116.2703007,39.70292786
69,116.2819645,39.70300057
70,116.2936284,39.70307212
71,116.3052923,39.70314249
72,116.3169562,39.70321169
73,116.3286202,39.70327972
74,116.3402842,39.70334658
106,116.0952314,39.71070567
107,116.106896,39.71079599
108,116.1185607,39.71088513
109,116.1302254,39.7109731
110,116.1418902,39.71105991
111,116.153555,39.71114554
112,116.1652199,39.71122999
113,116.1768848,39.71131328
114,116.1885497,39.71139539
115,116.2002148,39.71147634
116,116.2118798,39.71155611
117,116.2235449,39.71163471
118,116.2352101,39.71171213
119,116.2468753,39.71178839
120,116.2585405,39.71186347
121,116.2702058,39.71193738
122,116.2818711,39.71201012
123,116.2935365,39.71208169
124,116.3052019,39.71215209
125,116.3168674,39.71222131
126,116.3285329,39.71228936
127,116.3401984,39.71235624
128,116.351864,39.71242195
129,116.3635296,39.71248648
159,116.0951137,39.71971479
160,116.1067798,39.71980514
161,116.118446,39.71989431
162,116.1301122,39.71998231
163,116.1417785,39.72006914
164,116.1534449,39.7201548
165,116.1651112,39.72023928
166,116.1767777,39.72032259
167,116.1884442,39.72040473
168,116.2001107,39.7204857
169,116.2117773,39.7205655
170,116.2234439,39.72064412
171,116.2351106,39.72072157
172,116.2467773,39.72079785
173,116.2584441,39.72087296
174,116.2701109,39.72094689
175,116.2817777,39.72101966
176,116.2934446,39.72109125
177,116.3051115,39.72116167
178,116.3167785,39.72123091
179,116.3284455,39.72129898
180,116.3401126,39.72136589
181,116.3517796,39.72143162
182,116.3634468,39.72149617
183,116.3751139,39.72155956
184,116.3867811,39.72162177
185,116.3984484,39.72168281
186,116.4101156,39.72174267
187,116.4217829,39.72180137
188,116.4334503,39.72185889
212,116.0949959,39.7287239
213,116.1066635,39.72881427
214,116.1183312,39.72890347
215,116.129999,39.7289915
